Prefecture,Sub-Pref,Municipality-Large,Municipality-Small
北海道,石狩振興局,札幌市,中央区
北海道,石狩振興局,札幌市,東区
北海道,石狩振興局,札幌市,白石区
北海道,石狩振興局,札幌市,豊平区
北海道,石狩振興局,札幌市,南区
北海道,石狩振興局,札幌市,厚別区
北海道,渡島総合振興局,,函館市
北海道,後志総合振興局,,小樽市
北海道,上川総合振興局,,旭川市
北海道,オホーツク総合振興局,,北見市
北海道,オホーツク総合振興局,,網走市
北海道,胆振総合振興局,,苫小牧市
北海道,宗谷総合振興局,,稚内市
北海道,石狩振興局,,江別市
北海道,オホーツク総合振興局,,紋別市
北海道,石狩振興局,,千歳市
北海道,空知総合振興局,,滝川市
北海道,空知総合振興局,,深川市
北海道,石狩振興局,,恵庭市
北海道,石狩振興局,,石狩市
北海道,渡島総合振興局,,北斗市
北海道,渡島総合振興局,亀田郡,七飯町
北海道,渡島総合振興局,茅部郡,鹿部町
北海道,渡島総合振興局,茅部郡,森町
北海道,渡島総合振興局,二海郡,八雲町
北海道,渡島総合振興局,山越郡,長万部町
北海道,檜山振興局,檜山郡,江差町
北海道,檜山振興局,檜山郡,上ノ国町
北海道,檜山振興局,檜山郡,厚沢部町
北海道,檜山振興局,奥尻郡,奥尻町
北海道,檜山振興局,瀬棚郡,今金町
北海道,檜山振興局,久遠郡,せたな町
北海道,後志総合振興局,寿都郡,黒松内町
北海道,後志総合振興局,虻田郡,ニセコ町
北海道,後志総合振興局,虻田郡,倶知安町
北海道,上川総合振興局,上川郡,東神楽町
北海道,上川総合振興局,上川郡,当麻町
北海道,上川総合振興局,上川郡,上川町
北海道,上川総合振興局,上川郡,東川町
北海道,留萌振興局,苫前郡,羽幌町
北海道,宗谷総合振興局,天塩郡,豊富町
北海道,宗谷総合振興局,礼文郡,礼文町
北海道,オホーツク総合振興局,網走郡,美幌町
北海道,オホーツク総合振興局,網走郡,津別町
北海道,オホーツク総合振興局,斜里郡,斜里町
北海道,オホーツク総合振興局,斜里郡,清里町
北海道,オホーツク総合振興局,斜里郡,小清水町
北海道,オホーツク総合振興局,常呂郡,訓子府町
北海道,オホーツク総合振興局,常呂郡,置戸町
北海道,オホーツク総合振興局,常呂郡,佐呂間町
北海道,オホーツク総合振興局,紋別郡,遠軽町
北海道,オホーツク総合振興局,紋別郡,湧別町
北海道,オホーツク総合振興局,紋別郡,興部町
北海道,オホーツク総合振興局,網走郡,大空町
北海道,胆振総合振興局,勇払郡,厚真町
北海道,胆振総合振興局,勇払郡,安平町
北海道,胆振総合振興局,勇払郡,むかわ町
北海道,釧路総合振興局,釧路郡,釧路町
北海道,根室振興局,国後郡,泊村
北海道,根室振興局,国後郡,留夜別村
北海道,根室振興局,択捉郡,留別村
北海道,根室振興局,紗那郡,紗那村
青森県,,,弘前市
青森県,,,五所川原市
青森県,,,十和田市
青森県,,北津軽郡,中泊町
岩手県,,,盛岡市
岩手県,,,宮古市
岩手県,,,大船渡市
岩手県,,,花巻市
岩手県,,,北上市
岩手県,,,一関市
岩手県,,,奥州市
岩手県,,九戸郡,洋野町
宮城県,,,石巻市
宮城県,,,塩竈市
宮城県,,,気仙沼市
宮城県,,,名取市
宮城県,,,角田市
宮城県,,,東松島市
宮城県,,柴田郡,柴田町
宮城県,,牡鹿郡,女川町
秋田県,,,秋田市
秋田県,,,能代市
秋田県,,,横手市
秋田県,,,湯沢市
秋田県,,,由利本荘市
秋田県,,,北秋田市
秋田県,,,にかほ市
秋田県,,,仙北市
秋田県,,北秋田郡,上小阿仁村
秋田県,,南秋田郡,五城目町
秋田県,,雄勝郡,羽後町
山形県,,,米沢市
山形県,,,酒田市
山形県,,最上郡,真室川町
福島県,,,郡山市
福島県,,,いわき市
福島県,,,白河市
福島県,,,須賀川市
福島県,,,喜多方市
福島県,,,相馬市
福島県,,,田村市
福島県,,,南相馬市
福島県,,伊達郡,川俣町
福島県,,岩瀬郡,天栄村
福島県,,南会津郡,只見町
福島県,,南会津郡,南会津町
福島県,,耶麻郡,西会津町
福島県,,河沼郡,柳津町
福島県,,大沼郡,三島町
福島県,,大沼郡,金山町
福島県,,大沼郡,会津美里町
福島県,,西白河郡,泉崎村
福島県,,東白川郡,棚倉町
福島県,,東白川郡,矢祭町
福島県,,東白川郡,塙町
福島県,,石川郡,石川町
福島県,,石川郡,玉川村
福島県,,石川郡,平田村
福島県,,石川郡,浅川町
福島県,,田村郡,小野町
福島県,,双葉郡,楢葉町
福島県,,双葉郡,富岡町
福島県,,双葉郡,川内村
福島県,,双葉郡,大熊町
福島県,,双葉郡,双葉町
福島県,,双葉郡,浪江町
福島県,,相馬郡,新地町
福島県,,相馬郡,飯舘村
茨城県,,,水戸市
茨城県,,,土浦市
茨城県,,,取手市
茨城県,,,牛久市
茨城県,,,つくば市
茨城県,,,つくばみらい市
茨城県,,東茨城郡,大洗町
茨城県,,東茨城郡,城里町
栃木県,,,足利市
栃木県,,,大田原市
栃木県,,,那須塩原市
栃木県,,芳賀郡,益子町
栃木県,,那須郡,那須町
群馬県,,,前橋市
群馬県,,,高崎市
群馬県,,,館林市
群馬県,,,みどり市
群馬県,,吾妻郡,嬬恋村
埼玉県,,さいたま市,大宮区
埼玉県,,さいたま市,見沼区
埼玉県,,さいたま市,中央区
埼玉県,,さいたま市,桜区
埼玉県,,さいたま市,浦和区
埼玉県,,,川越市
埼玉県,,,熊谷市
埼玉県,,,秩父市
埼玉県,,,所沢市
埼玉県,,,飯能市
埼玉県,,,東松山市
埼玉県,,,羽生市
埼玉県,,,三郷市
埼玉県,,,坂戸市
埼玉県,,,鶴ヶ島市
埼玉県,,,白岡市
埼玉県,,比企郡,鳩山町
埼玉県,,南埼玉郡,宮代町
千葉県,,千葉市,中央区
千葉県,,千葉市,花見川区
千葉県,,千葉市,稲毛区
千葉県,,千葉市,若葉区
千葉県,,千葉市,緑区
千葉県,,千葉市,美浜区
千葉県,,,銚子市
千葉県,,,市川市
千葉県,,,船橋市
千葉県,,,木更津市
千葉県,,,成田市
千葉県,,,佐倉市
千葉県,,,旭市
千葉県,,,習志野市
千葉県,,,君津市
千葉県,,,富津市
千葉県,,,八街市
千葉県,,,富里市
千葉県,,,香取市
千葉県,,印旛郡,栄町
東京都,,,千代田区
東京都,,,中央区
東京都,,,港区
東京都,,,新宿区
東京都,,,台東区
東京都,,,墨田区
東京都,,,江東区
東京都,,,品川区
東京都,,,目黒区
東京都,,,大田区
東京都,,,世田谷区
東京都,,,渋谷区
東京都,,,中野区
東京都,,,杉並区
東京都,,,豊島区
東京都,,,北区
東京都,,,板橋区
東京都,,,練馬区
東京都,,,足立区
東京都,,,葛飾区
東京都,,,江戸川区
東京都,,,立川市
東京都,,,武蔵野市
東京都,,,三鷹市
東京都,,,青梅市
東京都,,,府中市
東京都,,,昭島市
東京都,,,町田市
東京都,,,小金井市
東京都,,,小平市
東京都,,,国分寺市
東京都,,,福生市
東京都,,,東久留米市
東京都,,,羽村市
東京都,,,あきる野市
東京都,,,西東京市
東京都,,西多摩郡,瑞穂町
東京都,,西多摩郡,日の出町
東京都,,西多摩郡,檜原村
東京都,,西多摩郡,奥多摩町
東京都,,大島支庁,大島町
東京都,,大島支庁,新島村
東京都,,三宅支庁,三宅村
東京都,,八丈支庁,八丈町
東京都,,八丈支庁,青ヶ島村
東京都,,小笠原支庁,小笠原村
神奈川県,,横浜市,南区
神奈川県,,横浜市,保土ケ谷区
神奈川県,,横浜市,金沢区
神奈川県,,横浜市,戸塚区
神奈川県,,横浜市,港南区
神奈川県,,横浜市,旭区
神奈川県,,横浜市,緑区
神奈川県,,横浜市,瀬谷区
神奈川県,,横浜市,栄区
神奈川県,,横浜市,泉区
神奈川県,,横浜市,青葉区
神奈川県,,横浜市,都筑区
神奈川県,,川崎市,川崎区
神奈川県,,川崎市,幸区
神奈川県,,川崎市,高津区
神奈川県,,川崎市,多摩区
神奈川県,,川崎市,麻生区
神奈川県,,相模原市,緑区
神奈川県,,相模原市,南区
神奈川県,,,横須賀市
神奈川県,,,鎌倉市
神奈川県,,,藤沢市
神奈川県,,,茅ヶ崎市
神奈川県,,,厚木市
神奈川県,,,大和市
神奈川県,,,海老名市
神奈川県,,,座間市
神奈川県,,,綾瀬市
新潟県,,新潟市,北区
新潟県,,新潟市,西区
新潟県,,,新発田市
新潟県,,,十日町市
新潟県,,,糸魚川市
新潟県,,,阿賀野市
新潟県,,,魚沼市
新潟県,,,南魚沼市
新潟県,,中魚沼郡,津南町
富山県,,,富山市
富山県,,,高岡市
富山県,,,氷見市
富山県,,,黒部市
富山県,,,砺波市
富山県,,,小矢部市
富山県,,,南砺市
富山県,,,射水市
富山県,,下新川郡,入善町
石川県,,,金沢市
石川県,,,七尾市
石川県,,,小松市
石川県,,,輪島市
石川県,,,珠洲市
石川県,,,加賀市
石川県,,,羽咋市
石川県,,,かほく市
石川県,,,白山市
石川県,,,能美市
石川県,,,野々市市
石川県,,能美郡,川北町
石川県,,河北郡,津幡町
石川県,,河北郡,内灘町
石川県,,羽咋郡,志賀町
石川県,,羽咋郡,宝達志水町
石川県,,鹿島郡,中能登町
石川県,,鳳珠郡,穴水町
石川県,,鳳珠郡,能登町
福井県,,,福井市
福井県,,今立郡,池田町
福井県,,三方郡,美浜町
福井県,,三方上中郡,若狭町
山梨県,,,山梨市
山梨県,,,笛吹市
山梨県,,,上野原市
山梨県,,,甲州市
山梨県,,,中央市
山梨県,,西八代郡,市川三郷町
山梨県,,南巨摩郡,身延町
山梨県,,南巨摩郡,富士川町
山梨県,,中巨摩郡,昭和町
山梨県,,南都留郡,西桂町
山梨県,,南都留郡,忍野村
山梨県,,南都留郡,山中湖村
山梨県,,北都留郡,丹波山村
長野県,,,長野市
長野県,,,松本市
長野県,,,上田市
長野県,,,岡谷市
長野県,,,飯田市
長野県,,,諏訪市
長野県,,,伊那市
長野県,,,駒ヶ根市
長野県,,,大町市
長野県,,,塩尻市
長野県,,諏訪郡,下諏訪町
長野県,,上伊那郡,南箕輪村
長野県,,上伊那郡,中川村
長野県,,上伊那郡,宮田村
長野県,,下伊那郡,阿南町
長野県,,下伊那郡,天龍村
長野県,,木曽郡,南木曽町
長野県,,木曽郡,木曽町
長野県,,北安曇郡,小谷村
長野県,,下高井郡,野沢温泉村
岐阜県,,,高山市
岐阜県,,,多治見市
岐阜県,,,関市
岐阜県,,,美濃市
岐阜県,,,各務原市
岐阜県,,,可児市
岐阜県,,,本巣市
岐阜県,,,郡上市
岐阜県,,養老郡,養老町
岐阜県,,安八郡,輪之内町
岐阜県,,加茂郡,富加町
静岡県,,静岡市,葵区
静岡県,,静岡市,駿河区
静岡県,,浜松市,中区
静岡県,,浜松市,東区
静岡県,,浜松市,西区
静岡県,,浜松市,南区
静岡県,,浜松市,北区
静岡県,,浜松市,浜北区
静岡県,,浜松市,天竜区
静岡県,,,沼津市
静岡県,,,島田市
静岡県,,,掛川市
静岡県,,,藤枝市
静岡県,,,袋井市
静岡県,,,下田市
静岡県,,,裾野市
静岡県,,,湖西市
静岡県,,,御前崎市
静岡県,,,菊川市
静岡県,,,牧之原市
静岡県,,賀茂郡,南伊豆町
静岡県,,賀茂郡,松崎町
静岡県,,賀茂郡,西伊豆町
静岡県,,周智郡,森町
愛知県,,名古屋市,千種区
愛知県,,名古屋市,東区
愛知県,,名古屋市,北区
愛知県,,名古屋市,西区
愛知県,,名古屋市,中村区
愛知県,,名古屋市,中区
愛知県,,名古屋市,昭和区
愛知県,,名古屋市,瑞穂区
愛知県,,名古屋市,熱田区
愛知県,,名古屋市,中川区
愛知県,,名古屋市,港区
愛知県,,名古屋市,南区
愛知県,,名古屋市,守山区
愛知県,,名古屋市,緑区
愛知県,,名古屋市,名東区
愛知県,,名古屋市,天白区
愛知県,,,豊橋市
愛知県,,,岡崎市
愛知県,,,一宮市
愛知県,,,春日井市
愛知県,,,津島市
愛知県,,,刈谷市
愛知県,,,豊田市
愛知県,,,西尾市
愛知県,,,犬山市
愛知県,,,小牧市
愛知県,,,新城市
愛知県,,,知立市
愛知県,,,高浜市
愛知県,,,岩倉市
愛知県,,,愛西市
愛知県,,,弥富市
愛知県,,,あま市
愛知県,,西春日井郡,豊山町
愛知県,,海部郡,大治町
愛知県,,海部郡,蟹江町
愛知県,,海部郡,飛島村
愛知県,,北設楽郡,設楽町
愛知県,,北設楽郡,東栄町
愛知県,,北設楽郡,豊根村
三重県,,,津市
三重県,,,四日市市
三重県,,,伊勢市
三重県,,,桑名市
三重県,,,熊野市
三重県,,,伊賀市
三重県,,桑名郡,木曽岬町
三重県,,三重郡,菰野町
滋賀県,,,大津市
滋賀県,,,彦根市
滋賀県,,,長浜市
滋賀県,,,近江八幡市
滋賀県,,,草津市
滋賀県,,,甲賀市
滋賀県,,,野洲市
滋賀県,,,東近江市
滋賀県,,,米原市
滋賀県,,犬上郡,多賀町
京都府,,京都市,北区
京都府,,京都市,上京区
京都府,,京都市,左京区
京都府,,京都市,中京区
京都府,,京都市,東山区
京都府,,京都市,下京区
京都府,,京都市,南区
京都府,,京都市,右京区
京都府,,京都市,伏見区
京都府,,京都市,山科区
京都府,,京都市,西京区
京都府,,,福知山市
京都府,,,舞鶴市
京都府,,,宇治市
京都府,,,宮津市
京都府,,,亀岡市
京都府,,,向日市
京都府,,,八幡市
京都府,,,京田辺市
京都府,,,南丹市
京都府,,,木津川市
京都府,,久世郡,久御山町
京都府,,相楽郡,和束町
京都府,,相楽郡,精華町
京都府,,与謝郡,与謝野町
大阪府,,大阪市,都島区
大阪府,,大阪市,福島区
大阪府,,大阪市,此花区
大阪府,,大阪市,西区
大阪府,,大阪市,港区
大阪府,,大阪市,大正区
大阪府,,大阪市,天王寺区
大阪府,,大阪市,浪速区
大阪府,,大阪市,東淀川区
大阪府,,大阪市,東成区
大阪府,,大阪市,生野区
大阪府,,大阪市,旭区
大阪府,,大阪市,城東区
大阪府,,大阪市,阿倍野区
大阪府,,大阪市,住吉区
大阪府,,大阪市,東住吉区
大阪府,,大阪市,西成区
大阪府,,大阪市,淀川区
大阪府,,大阪市,鶴見区
大阪府,,大阪市,平野区
大阪府,,大阪市,北区
大阪府,,大阪市,中央区
大阪府,,堺市,堺区
大阪府,,堺市,西区
大阪府,,堺市,南区
大阪府,,堺市,北区
大阪府,,,岸和田市
大阪府,,,豊中市
大阪府,,,池田市
大阪府,,,吹田市
大阪府,,,泉大津市
大阪府,,,高槻市
大阪府,,,貝塚市
大阪府,,,守口市
大阪府,,,枚方市
大阪府,,,茨木市
大阪府,,,泉佐野市
大阪府,,,富田林市
大阪府,,,和泉市
大阪府,,,箕面市
大阪府,,,摂津市
大阪府,,,東大阪市
大阪府,,,交野市
大阪府,,豊能郡,豊能町
兵庫県,,神戸市,東灘区
兵庫県,,神戸市,灘区
兵庫県,,神戸市,兵庫区
兵庫県,,神戸市,長田区
兵庫県,,神戸市,須磨区
兵庫県,,神戸市,垂水区
兵庫県,,神戸市,北区
兵庫県,,神戸市,中央区
兵庫県,,神戸市,西区
兵庫県,,,姫路市
兵庫県,,,尼崎市
兵庫県,,,西宮市
兵庫県,,,芦屋市
兵庫県,,,豊岡市
兵庫県,,,宝塚市
兵庫県,,,三木市
兵庫県,,,川西市
兵庫県,,,三田市
兵庫県,,,加西市
兵庫県,,,養父市
兵庫県,,,丹波市
兵庫県,,,南あわじ市
兵庫県,,,朝来市
兵庫県,,,淡路市
兵庫県,,,宍粟市
兵庫県,,,たつの市
兵庫県,,川辺郡,猪名川町
兵庫県,,神崎郡,市川町
兵庫県,,神崎郡,福崎町
兵庫県,,神崎郡,神河町
兵庫県,,赤穂郡,上郡町
兵庫県,,佐用郡,佐用町
兵庫県,,美方郡,香美町
兵庫県,,美方郡,新温泉町
奈良県,,,奈良市
奈良県,,,大和郡山市
奈良県,,,生駒市
奈良県,,生駒郡,安堵町
奈良県,,北葛城郡,上牧町
奈良県,,北葛城郡,王寺町
奈良県,,吉野郡,吉野町
奈良県,,吉野郡,下市町
奈良県,,吉野郡,黒滝村
奈良県,,吉野郡,野迫川村
奈良県,,吉野郡,十津川村
奈良県,,吉野郡,上北山村
奈良県,,吉野郡,川上村
和歌山県,,,田辺市
和歌山県,,,新宮市
和歌山県,,西牟婁郡,白浜町
鳥取県,,,鳥取市
鳥取県,,,米子市
鳥取県,,,倉吉市
鳥取県,,,境港市
鳥取県,,岩美郡,岩美町
鳥取県,,八頭郡,若桜町
鳥取県,,八頭郡,智頭町
鳥取県,,八頭郡,八頭町
鳥取県,,東伯郡,三朝町
鳥取県,,東伯郡,湯梨浜町
鳥取県,,東伯郡,琴浦町
鳥取県,,東伯郡,北栄町
鳥取県,,西伯郡,日吉津村
鳥取県,,西伯郡,大山町
鳥取県,,西伯郡,南部町
鳥取県,,西伯郡,伯耆町
鳥取県,,日野郡,日南町
鳥取県,,日野郡,日野町
島根県,,,松江市
島根県,,,浜田市
島根県,,,出雲市
島根県,,,益田市
島根県,,,大田市
島根県,,,安来市
島根県,,,江津市
島根県,,,雲南市
島根県,,飯石郡,飯南町
島根県,,邑智郡,川本町
島根県,,邑智郡,美郷町
島根県,,邑智郡,邑南町
島根県,,鹿足郡,津和野町
島根県,,鹿足郡,吉賀町
岡山県,,岡山市,北区
岡山県,,岡山市,中区
岡山県,,岡山市,東区
岡山県,,岡山市,南区
岡山県,,,倉敷市
岡山県,,,津山市
岡山県,,,玉野市
岡山県,,,笠岡市
岡山県,,,総社市
岡山県,,,高梁市
岡山県,,,新見市
岡山県,,,備前市
岡山県,,,瀬戸内市
岡山県,,,赤磐市
岡山県,,,真庭市
岡山県,,,美作市
岡山県,,和気郡,和気町
岡山県,,小田郡,矢掛町
岡山県,,真庭郡,新庄村
岡山県,,苫田郡,鏡野町
岡山県,,勝田郡,勝央町
岡山県,,勝田郡,奈義町
岡山県,,英田郡,西粟倉村
岡山県,,久米郡,久米南町
岡山県,,久米郡,美咲町
広島県,,広島市,中区
広島県,,広島市,南区
広島県,,広島市,安佐南区
広島県,,広島市,安佐北区
広島県,,広島市,安芸区
広島県,,,呉市
広島県,,,三原市
広島県,,,尾道市
広島県,,,福山市
広島県,,,府中市
広島県,,,庄原市
広島県,,,東広島市
広島県,,,廿日市市
広島県,,,江田島市
広島県,,安芸郡,坂町
広島県,,豊田郡,大崎上島町
広島県,,神石郡,神石高原町
山口県,,,下関市
山口県,,,山口市
山口県,,,萩市
山口県,,,防府市
山口県,,,岩国市
山口県,,,光市
山口県,,,美祢市
山口県,,,周南市
山口県,,大島郡,周防大島町
山口県,,熊毛郡,上関町
山口県,,熊毛郡,田布施町
山口県,,熊毛郡,平生町
徳島県,,,阿南市
徳島県,,,三好市
徳島県,,美馬郡,つるぎ町
香川県,,,高松市
香川県,,,丸亀市
香川県,,,坂出市
香川県,,,東かがわ市
香川県,,,三豊市
香川県,,小豆郡,土庄町
香川県,,香川郡,直島町
香川県,,綾歌郡,綾川町
香川県,,仲多度郡,多度津町
香川県,,仲多度郡,まんのう町
愛媛県,,,松山市
愛媛県,,,今治市
愛媛県,,,宇和島市
愛媛県,,,西条市
愛媛県,,,大洲市
愛媛県,,,西予市
愛媛県,,越智郡,上島町
高知県,,,高知市
高知県,,,香南市
高知県,,,香美市
高知県,,土佐郡,土佐町
福岡県,,北九州市,若松区
福岡県,,北九州市,小倉北区
福岡県,,北九州市,八幡西区
福岡県,,福岡市,東区
福岡県,,福岡市,博多区
福岡県,,福岡市,中央区
福岡県,,福岡市,南区
福岡県,,福岡市,西区
福岡県,,福岡市,城南区
福岡県,,福岡市,早良区
福岡県,,,久留米市
福岡県,,,飯塚市
福岡県,,,大川市
福岡県,,,中間市
福岡県,,,小郡市
福岡県,,,筑紫野市
福岡県,,,宗像市
福岡県,,,福津市
福岡県,,,朝倉市
福岡県,,,糸島市
福岡県,,糟屋郡,宇美町
福岡県,,糟屋郡,新宮町
福岡県,,遠賀郡,水巻町
福岡県,,遠賀郡,岡垣町
福岡県,,遠賀郡,遠賀町
佐賀県,,,佐賀市
佐賀県,,,唐津市
佐賀県,,,鳥栖市
佐賀県,,,小城市
佐賀県,,,神埼市
佐賀県,,神埼郡,吉野ヶ里町
佐賀県,,三養基郡,基山町
佐賀県,,三養基郡,上峰町
佐賀県,,西松浦郡,有田町
佐賀県,,藤津郡,太良町
長崎県,,,諫早市
長崎県,,,松浦市
長崎県,,,対馬市
長崎県,,,壱岐市
長崎県,,,五島市
長崎県,,,西海市
長崎県,,,南島原市
長崎県,,北松浦郡,小値賀町
熊本県,,,八代市
熊本県,,菊池郡,大津町
熊本県,,菊池郡,菊陽町
熊本県,,阿蘇郡,南小国町
熊本県,,阿蘇郡,西原村
熊本県,,阿蘇郡,南阿蘇村
熊本県,,上益城郡,御船町
熊本県,,上益城郡,嘉島町
熊本県,,上益城郡,益城町
熊本県,,上益城郡,甲佐町
熊本県,,球磨郡,多良木町
熊本県,,球磨郡,水上村
熊本県,,球磨郡,相良村
熊本県,,球磨郡,五木村
大分県,,,佐伯市
大分県,,,津久見市
大分県,,,由布市
宮崎県,,,宮崎市
宮崎県,,,都城市
宮崎県,,,日南市
宮崎県,,児湯郡,新富町
鹿児島県,,,鹿児島市
鹿児島県,,,阿久根市
鹿児島県,,,薩摩川内市
鹿児島県,,,日置市
鹿児島県,,,霧島市
鹿児島県,,,南さつま市
鹿児島県,,,奄美市
鹿児島県,,,南九州市
鹿児島県,,鹿児島郡,三島村
鹿児島県,,鹿児島郡,十島村
鹿児島県,,熊毛郡,屋久島町
鹿児島県,,大島郡,瀬戸内町
沖縄県,,,那覇市
沖縄県,,,宮古島市
沖縄県,,,南城市
沖縄県,,国頭郡,恩納村
沖縄県,,島尻郡,渡嘉敷村
沖縄県,,島尻郡,座間味村
沖縄県,,島尻郡,粟国村
沖縄県,,島尻郡,北大東村
沖縄県,,宮古郡,多良間村
沖縄県,,八重山郡,竹富町
沖縄県,,八重山郡,与那国町
